cohort_month,loyalty_status,months_since_acquisition,active_users,cohort_size,retention_pct
2019-07-01,0,0,1002,1002,100.0
2019-07-01,0,1,19,1002,1.9
2019-07-01,0,2,17,1002,1.7
2019-07-01,0,3,2,1002,0.2
2019-07-01,0,4,3,1002,0.3
2019-07-01,0,5,4,1002,0.4
2019-07-01,0,6,5,1002,0.5
2019-07-01,0,7,6,1002,0.6
2019-07-01,0,8,3,1002,0.3
2019-07-01,0,9,1,1002,0.1
2019-07-01,0,10,3,1002,0.3
2019-07-01,0,11,4,1002,0.4
2019-07-01,0,12,1,1002,0.1
2019-07-01,0,13,1,1002,0.1
2019-07-01,0,14,5,1002,0.5
2019-07-01,0,15,1,1002,0.1
2019-07-01,0,16,1,1002,0.1
2019-07-01,0,17,1,1002,0.1
2019-07-01,0,18,3,1002,0.3
2019-07-01,0,19,1,1002,0.1
2019-07-01,0,20,1,1002,0.1
2019-07-01,0,21,2,1002,0.2
2019-07-01,0,22,3,1002,0.3
2019-07-01,0,23,3,1002,0.3
2019-07-01,0,24,1,1002,0.1
2019-07-01,0,25,3,1002,0.3
2019-07-01,0,26,2,1002,0.2
2019-07-01,0,27,1,1002,0.1
2019-07-01,0,28,1,1002,0.1
2019-07-01,0,29,2,1002,0.2
2019-07-01,0,31,1,1002,0.1
2019-07-01,0,32,3,1002,0.3
2019-07-01,0,37,1,1002,0.1
2019-07-01,0,38,3,1002,0.3
2019-07-01,0,39,1,1002,0.1
2019-07-01,1,0,119,119,100.0
2019-07-01,1,3,2,119,1.68
2019-07-01,1,9,1,119,0.84
2019-07-01,1,12,1,119,0.84
2019-08-01,0,0,902,902,100.0
2019-08-01,0,1,12,902,1.33
2019-08-01,0,2,10,902,1.11
2019-08-01,0,3,6,902,0.67
2019-08-01,0,4,6,902,0.67
2019-08-01,0,5,2,902,0.22
2019-08-01,0,6,2,902,0.22
2019-08-01,0,7,4,902,0.44
2019-08-01,0,8,4,902,0.44
2019-08-01,0,9,2,902,0.22
2019-08-01,0,10,1,902,0.11
2019-08-01,0,11,1,902,0.11
2019-08-01,0,12,3,902,0.33
2019-08-01,0,13,1,902,0.11
2019-08-01,0,14,3,902,0.33
2019-08-01,0,15,3,902,0.33
2019-08-01,0,16,3,902,0.33
2019-08-01,0,17,2,902,0.22
2019-08-01,0,18,4,902,0.44
2019-08-01,0,19,1,902,0.11
2019-08-01,0,20,2,902,0.22
2019-08-01,0,21,1,902,0.11
2019-08-01,0,22,1,902,0.11
2019-08-01,0,23,1,902,0.11
